1,Post office,37.0148385,-1.1043684
2,Kensington,37.0097456,-1.1005663
3,Joymwa,37.0115002,-1.0993301
4,Maukah,37.0109588,-1.0996321
5,Joymwa court,37.0107085,-1.0985219
6,Sycamore,37.0105274,-1.0982027
7,Victon,37.0105577,-1.0982360
8,St Patrick,37.0099878,-1.0986588
9,Isshoni,37.0100973,-1.0987247
10,2 rivers,37.0102974,-1.0991740
11,kibes,37.0103767,-1.0991323
12,Classic ,37.0106495,-1.0995003
13,Bema,37.0111148,-1.1004363
14,Criss house,37.0097843,-1.0985264
15,Phemsi ,37.0095855,-1.0986792
16,Ibis ,37.0093692,-1.0989450
17,Githinjis,37.0098684,-1.0995322
18,Katerina,37.0103256,-1.0995243
19,Gitwamba ,37.0099220,-1.0999440
20,Gift ,37.0096910,-1.1001292
21,tripleas,37.0094933,-1.1004469
22,Jacaranda,37.0092916,-1.1007959
23,Dunamis,37.0089006,-1.1002119
24,zone 81 ,37.0084251,-1.0996627
25,danemas,37.0075081,-1.1003269
26,house of grace ,37.0077905,-1.1015759
27,Morgan's,37.0089443,-1.1014196
28,Pravin,37.0095172,-1.1022567
29,Nester,37.0104266,-1.1020298
30,Nuru,37.0113051,-1.1015237
31,Foundation villa,37.0110969,-1.1018369
32,Pm Arcade,37.0103586,-1.1012544
33,Hope ,37.0100111,-1.1008059
34,4seas,37.0106991,-1.1009884
35,Newlands,37.0102701,-1.1005433
36,Bnck ,37.0111529,-1.1002810
37,Miko's,37.0110099,-1.1001273
38,Elite,37.0114954,-1.1007935
39,Benflo,37.0118083,-1.1004687
40,Chalo1,37.0122821,-1.0998032
41,Adonai,37.0125163,-1.0999924
42,Rising Cock,37.0127249,-1.1004842
43,"Executive 
",37.0122399,-1.1017264
44,Cool Palace,37.0107492,-1.1027920
45,Kk towers,37.0106219,-1.1030431
46,Vintage ,37.0130156,-1.1032419
47,Crossroads ,37.0131467,-1.1039632
48,Walawi,37.0148391,-1.1029693
49,Eziam,37.0147565,-1.1014723
50,Sururu plaza,37.0150061,-1.1019046
51,"Jokamawa
",37.0164236,-1.1021039
52,Red Classic ,37.0165329,-1.1029155
53,Ruth's,37.0161995,-1.1029505
54,Gabedi,37.0165474,-1.1011376
55,Rick,37.0173375,-1.1007825
56,Amira,37.0181289,-1.1015628
57,Icon,37.0182332,-1.1002312
58,Eastern court,37.0171851,-1.1003305
59,cozy bay,37.0167206,-1.0983596
60,umoja,37.0173882,-1.0983494
61,Yellow,37.0184475,-1.0962469
62,Wima,37.0193065,-1.0968251
63,Agape,37.0191810,-1.0949624
64,Amani keja,37.0216747,-1.0974572
65,kamtech,37.0212509,-1.0963629
66,Manhattan ,37.0202851,-1.0949447
67,kiongo,37.0195507,-1.0940209
